table,game_id,feature_time,label_time
starter,2021-09-28_SD_LAD,2021-09-28 00:00:00+00:00,2021-09-28 00:00:00+00:00
starter,2021-09-28_SD_LAD,2021-09-28 00:00:00+00:00,2021-09-28 00:00:00+00:00
starter,2021-09-27_WSH_COL,2021-09-27 00:00:00+00:00,2021-09-27 00:00:00+00:00
starter,2021-09-27_WSH_COL,2021-09-27 00:00:00+00:00,2021-09-27 00:00:00+00:00
starter,2021-09-28_PHI_ATL,2021-09-28 00:00:00+00:00,2021-09-28 00:00:00+00:00
starter,2021-09-28_PHI_ATL,2021-09-28 00:00:00+00:00,2021-09-28 00:00:00+00:00
starter,2021-09-28_CIN_CWS,2021-09-28 00:00:00+00:00,2021-09-28 00:00:00+00:00
starter,2021-09-28_CIN_CWS,2021-09-28 00:00:00+00:00,2021-09-28 00:00:00+00:00
starter,2021-09-28_WSH_COL,2021-09-28 00:00:00+00:00,2021-09-28 00:00:00+00:00
starter,2021-09-28_WSH_COL,2021-09-28 00:00:00+00:00,2021-09-28 00:00:00+00:00
starter,2021-09-27_OAK_SEA,2021-09-27 00:00:00+00:00,2021-09-27 00:00:00+00:00
starter,2021-09-27_OAK_SEA,2021-09-27 00:00:00+00:00,2021-09-27 00:00:00+00:00
starter,2021-09-26_HOU_OAK,2021-09-26 00:00:00+00:00,2021-09-26 00:00:00+00:00
starter,2021-09-26_HOU_OAK,2021-09-26 00:00:00+00:00,2021-09-26 00:00:00+00:00
starter,2021-09-26_ATL_SD,2021-09-26 00:00:00+00:00,2021-09-26 00:00:00+00:00
starter,2021-09-26_ATL_SD,2021-09-26 00:00:00+00:00,2021-09-26 00:00:00+00:00
starter,2021-09-26_KC_DET,2021-09-26 00:00:00+00:00,2021-09-26 00:00:00+00:00
starter,2021-09-26_KC_DET,2021-09-26 00:00:00+00:00,2021-09-26 00:00:00+00:00
starter,2021-09-26_SEA_LAA,2021-09-26 00:00:00+00:00,2021-09-26 00:00:00+00:00
starter,2021-09-26_SEA_LAA,2021-09-26 00:00:00+00:00,2021-09-26 00:00:00+00:00
starter,2021-09-26_NYM_MIL,2021-09-26 00:00:00+00:00,2021-09-26 00:00:00+00:00
starter,2021-09-26_NYM_MIL,2021-09-26 00:00:00+00:00,2021-09-26 00:00:00+00:00
starter,2021-09-26_PIT_PHI,2021-09-26 00:00:00+00:00,2021-09-26 00:00:00+00:00
starter,2021-09-26_PIT_PHI,2021-09-26 00:00:00+00:00,2021-09-26 00:00:00+00:00
starter,2021-09-26_CWS_CLE,2021-09-26 00:00:00+00:00,2021-09-26 00:00:00+00:00
starter,2021-09-26_CWS_CLE,2021-09-26 00:00:00+00:00,2021-09-26 00:00:00+00:00
starter,2021-09-26_SF_COL,2021-09-26 00:00:00+00:00,2021-09-26 00:00:00+00:00
starter,2021-09-26_SF_COL,2021-09-26 00:00:00+00:00,2021-09-26 00:00:00+00:00
starter,2021-09-26_STL_CHC,2021-09-26 00:00:00+00:00,2021-09-26 00:00:00+00:00
starter,2021-09-26_STL_CHC,2021-09-26 00:00:00+00:00,2021-09-26 00:00:00+00:00
starter,2021-09-26_WSH_CIN,2021-09-26 00:00:00+00:00,2021-09-26 00:00:00+00:00
starter,2021-09-26_WSH_CIN,2021-09-26 00:00:00+00:00,2021-09-26 00:00:00+00:00
starter,2021-09-26_TEX_BAL,2021-09-26 00:00:00+00:00,2021-09-26 00:00:00+00:00
starter,2021-09-26_TEX_BAL,2021-09-26 00:00:00+00:00,2021-09-26 00:00:00+00:00
starter,2021-09-25_MIA_TB,2021-09-25 00:00:00+00:00,2021-09-25 00:00:00+00:00
starter,2021-09-25_MIA_TB,2021-09-25 00:00:00+00:00,2021-09-25 00:00:00+00:00
starter,2021-09-26_TOR_MIN,2021-09-26 00:00:00+00:00,2021-09-26 00:00:00+00:00
starter,2021-09-26_TOR_MIN,2021-09-26 00:00:00+00:00,2021-09-26 00:00:00+00:00
starter,2021-09-26_LAD_AZ,2021-09-26 00:00:00+00:00,2021-09-26 00:00:00+00:00
starter,2021-09-26_LAD_AZ,2021-09-26 00:00:00+00:00,2021-09-26 00:00:00+00:00
starter,2021-09-25_WSH_CIN,2021-09-25 00:00:00+00:00,2021-09-25 00:00:00+00:00
starter,2021-09-25_WSH_CIN,2021-09-25 00:00:00+00:00,2021-09-25 00:00:00+00:00
starter,2021-09-24_STL_CHC,2021-09-24 00:00:00+00:00,2021-09-24 00:00:00+00:00
starter,2021-09-24_STL_CHC,2021-09-24 00:00:00+00:00,2021-09-24 00:00:00+00:00
starter,2021-09-24_STL_CHC,2021-09-24 00:00:00+00:00,2021-09-24 00:00:00+00:00
starter,2021-09-24_STL_CHC,2021-09-24 00:00:00+00:00,2021-09-24 00:00:00+00:00
starter,2021-09-24_LAD_AZ,2021-09-24 00:00:00+00:00,2021-09-24 00:00:00+00:00
starter,2021-09-24_LAD_AZ,2021-09-24 00:00:00+00:00,2021-09-24 00:00:00+00:00
starter,2021-09-25_PIT_PHI,2021-09-25 00:00:00+00:00,2021-09-25 00:00:00+00:00
starter,2021-09-25_PIT_PHI,2021-09-25 00:00:00+00:00,2021-09-25 00:00:00+00:00
starter,2021-09-25_HOU_OAK,2021-09-25 00:00:00+00:00,2021-09-25 00:00:00+00:00
starter,2021-09-25_HOU_OAK,2021-09-25 00:00:00+00:00,2021-09-25 00:00:00+00:00
starter,2021-09-25_ATL_SD,2021-09-25 00:00:00+00:00,2021-09-25 00:00:00+00:00
starter,2021-09-25_ATL_SD,2021-09-25 00:00:00+00:00,2021-09-25 00:00:00+00:00
starter,2021-09-25_SEA_LAA,2021-09-25 00:00:00+00:00,2021-09-25 00:00:00+00:00
starter,2021-09-25_SEA_LAA,2021-09-25 00:00:00+00:00,2021-09-25 00:00:00+00:00
starter,2021-09-26_NYY_BOS,2021-09-26 00:00:00+00:00,2021-09-26 00:00:00+00:00
starter,2021-09-26_NYY_BOS,2021-09-26 00:00:00+00:00,2021-09-26 00:00:00+00:00
starter,2021-09-25_NYM_MIL,2021-09-25 00:00:00+00:00,2021-09-25 00:00:00+00:00
starter,2021-09-25_NYM_MIL,2021-09-25 00:00:00+00:00,2021-09-25 00:00:00+00:00
starter,2021-09-25_KC_DET,2021-09-25 00:00:00+00:00,2021-09-25 00:00:00+00:00
starter,2021-09-25_KC_DET,2021-09-25 00:00:00+00:00,2021-09-25 00:00:00+00:00
